content_type,language,genre,duration,release_date,rating,episode_count,season_count,content_id
series,english,drama,4980000,01-07-2018,10,32,19,cont_3943_2_23
series,english,drama,3000000,29-03-2016,4,21,15,cont_1981_6_18
series,tamil,comedy,3120000,06-03-2006,8,28,13,cont_2227_9_21
sports,hindi,cricket,9900000,10-01-2009,0,5,1,cont_3943_8_34
series,hindi,action,3660000,25-05-2020,2,29,10,cont_1369_7_18
series,hindi,comedy,3060000,04-02-2002,10,37,1,cont_2196_2_14
series,marathi,drama,3600000,09-07-2011,7,24,1,cont_1286_9_8
series,hindi,comedy,3240000,03-05-1994,7,17,5,cont_1259_11_12
series,marathi,drama,3060000,18-12-2020,1,19,4,cont_1739_8_14
series,hindi,comedy,2880000,27-05-2002,1,25,5,cont_4375_2_32
series,malayalam,drama,4320000,15-06-2004,5,20,11,cont_127_8_15
series,hindi,drama,3300000,14-11-2017,5,1,5,cont_3710_1_14
series,tamil,drama,5100000,22-03-2017,8,9,11,cont_4688_1_8
series,punjabi,comedy,3600000,24-06-2016,2,48,10,cont_4813_1_34
series,english,action,3180000,26-06-2001,5,22,1,cont_2417_12_29
series,tamil,horror,2940000,20-10-2011,2,6,9,cont_4656_11_10
sports,hindi,cricket,4200000,10-12-2005,0,6,1,cont_2707_7_21
series,hindi,documentary,3420000,29-06-2018,9,2,7,cont_3552_4_42
series,english,drama,3840000,15-02-2013,3,22,5,cont_2598_6_22
series,marathi,drama,2820000,08-05-2018,2,8,13,cont_3696_6_9
series,kannada,action,3720000,27-03-2016,1,7,1,cont_3792_15_40
series,english,drama,5220000,04-04-1997,8,1,3,cont_1466_2_10
series,hindi,action,3300000,25-07-2017,7,52,6,cont_1334_3_33
series,english,drama,2820000,25-10-2019,10,22,1,cont_4374_2_20
series,hindi,drama,2760000,15-03-2007,9,7,6,cont_2401_1_16
series,oriya,drama,3420000,06-07-2001,6,8,2,cont_1873_14_11
series,tamil,drama,3420000,28-07-2015,4,8,12,cont_3222_1_9
series,hindi,comedy,3480000,09-09-2010,5,4,37,cont_3259_11_42
series,english,comedy,4200000,11-09-2014,4,3,20,cont_593_22_11
series,telugu,sci-fi,4440000,04-10-2018,5,13,30,cont_3371_4_51
series,hindi,comedy,3240000,31-05-2011,5,13,38,cont_2550_1_2
series,telugu,drama,3600000,30-11-2002,1,38,4,cont_148_7_56
series,hindi,drama,3120000,20-07-1998,5,11,2,cont_750_2_6
series,hindi,comedy,3780000,21-10-2016,2,7,6,cont_2237_6_11
series,hindi,drama,3420000,23-01-1996,5,3,4,cont_405_6_26
series,hindi,drama,2760000,25-03-2016,10,13,8,cont_3189_23_2
sports,hindi,football,8160000,14-08-1997,0,16,1,cont_4410_4_17
series,hindi,drama,3360000,24-02-2010,3,13,11,cont_3856_3_23
series,gujarati,drama,2700000,06-04-2004,9,21,3,cont_1942_2_59
series,malayalam,horror,3780000,22-05-2007,1,1,11,cont_2244_6_7
series,hindi,sci-fi,2580000,05-09-2014,8,2,11,cont_2053_1_18
series,english,drama,3480000,30-01-2017,6,16,2,cont_1777_3_41
series,hindi,drama,4020000,06-08-2003,9,4,4,cont_2298_5_3
series,malayalam,drama,3600000,08-11-2016,8,5,5,cont_386_2_9
series,hindi,drama,3300000,30-01-2020,1,15,7,cont_3603_2_33
series,bengali,action,3900000,26-04-1999,9,10,17,cont_1038_18_23
series,hindi,drama,3720000,03-09-1995,5,11,1,cont_3939_7_11
series,english,action,2760000,17-02-2015,7,19,4,cont_2911_5_12
series,english,drama,3300000,01-04-2017,2,40,18,cont_4571_1_13
series,hindi,comedy,3180000,20-02-2005,1,5,2,cont_3970_7_5
series,english,sci-fi,3120000,21-07-1993,9,8,2,cont_815_23_14
series,telugu,drama,3600000,20-10-2010,3,22,1,cont_4289_1_44
series,hindi,drama,3720000,23-09-1997,9,27,5,cont_3198_1_1
series,malayalam,horror,3300000,17-12-2006,1,6,9,cont_1959_1_25
series,hindi,drama,4680000,30-04-2019,7,18,17,cont_3696_2_16
series,english,drama,3240000,06-10-2012,5,9,3,cont_2479_2_20
series,english,action,3360000,02-02-2013,4,12,19,cont_4446_3_4
series,punjabi,comedy,3000000,01-08-2001,8,13,16,cont_3392_2_10
series,hindi,drama,2940000,26-01-2013,1,6,5,cont_2505_2_38
series,hindi,drama,3420000,19-06-2000,7,6,4,cont_2625_2_16
series,malayalam,sci-fi,3000000,28-10-2003,10,8,14,cont_3033_3_22
series,hindi,drama,3420000,25-02-2014,9,15,10,cont_81_1_16
series,hindi,comedy,3180000,10-06-2007,10,13,10,cont_149_8_30
series,hindi,drama,3600000,09-10-2003,1,29,8,cont_4149_7_47
series,hindi,action,3960000,26-01-1992,10,20,1,cont_1273_1_14
series,telugu,drama,3780000,03-12-1995,8,2,2,cont_87_2_53
series,hindi,comedy,3420000,30-10-2008,8,25,8,cont_2381_23_13
series,hindi,drama,3540000,23-04-2015,9,23,1,cont_1620_3_20
series,hindi,comedy,3900000,20-09-2004,4,4,3,cont_1785_20_7
series,telugu,comedy,2520000,20-08-2001,8,19,5,cont_43_3_2
series,telugu,drama,2880000,10-06-2003,1,9,3,cont_4131_4_20
series,hindi,drama,3060000,09-11-2006,8,7,3,cont_2853_6_5
series,hindi,comedy,3720000,23-11-2007,9,16,13,cont_3075_2_16
series,hindi,drama,2400000,02-03-1995,9,4,5,cont_593_19_12
series,hindi,comedy,3240000,29-10-2018,5,24,1,cont_530
series,bengali,comedy,3300000,13-02-2006,6,39,2,cont_4577_2_34
series,hindi,drama,2580000,01-05-2017,5,48,1,cont_1062_9_15
series,hindi,action,2880000,30-07-2009,5,1,6,cont_1466_18_21
series,hindi,drama,3360000,17-03-2008,3,1,22,cont_1158_15_2
series,hindi,comedy,3060000,14-12-1992,5,9,2,cont_7_1_5
series,english,comedy,3300000,13-05-2012,8,29,3,cont_1007_10_6
series,hindi,action,2580000,16-07-1999,10,5,6,cont_203_12_14
